DATAFLOW,LAST UPDATE,freq,purchase,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,AT,2010,76.80,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,AT,2011,81.60,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,AT,2012,87.57,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,AT,2013,92.10,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,AT,2014,95.33,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,AT,2015,100.00,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,AT,2016,108.53,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,AT,2017,114.26,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,AT,2018,119.64,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,AT,2019,126.60,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,AT,2020,136.31,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,AT,2021,153.26,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,BE,2010,91.92,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,BE,2011,95.61,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,BE,2012,97.75,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,BE,2013,98.90,
ESTAT:PRC_HPI_A(1.0),10/01/23 11:00:00,A,TOTAL,I15_A_AVG,BE,2014,98.35,
